,Votes,UnemploymentRate2015,MedHHInc,PerCapitaInc,PovertyAllAgesPct,DeepPovAll,TotalAreaSqM,PopulationDensitySqM,TotalMaleRate,TotalFemaleRate,VoterTurnoutRate,Democrat,Population,County,State,DominantEducation,DominantReligion,Young,Adult,Old,DominantEthnicMale,DominantEthnicFemale,EstimatePopulation2015Normal,PopulationNormal,MedHHIncNormal,PerCapitaIncNormal,TotalAreaSqMNormal,PopulationDensitySqMNormal,Age
1833,358857,0.077,33687.0,18269.0,0.315,0.1324231284,57.48,32903.3,0.47216176,0.52783824,0.00246561874,1,1385108,005,36,under high school,Catholic,0.283395995,0.6045825200000001,0.11202148500000014,White,White,4.081345731353273,4.1140957669237475,-1.112469911552914,-1.0160535287063126,-0.3008134746290247,18.92136765486761,Adult
1834,77657,0.06,46283.0,24820.0,0.172,0.08964134976,715.51,284.2,0.49183738899999996,0.508162611,0.00395066313,0,200600,007,36,only high school,Catholic,0.23538030299999999,0.583068368,0.18155132899999987,White,White,0.2804595434433406,0.32746699354655073,-0.07122182432945261,0.13283182056509577,-0.12883558205270795,0.012771393470397739,Adult
1835,28961,0.062,43892.0,22486.0,0.162,0.0657851928,1322.49,61.4,0.495636662,0.504363338,0.00371666538,0,80317,009,36,only high school,Catholic,0.25254742,0.571083903,0.1763686770000001,White,White,-0.07776142791809815,-0.057053050850050566,-0.2688737913468626,-0.2764947563238475,0.029800257097441295,-0.11638101254446159,Adult
1836,30124,0.054000000000000006,52792.0,25070.0,0.127,0.05330965194,863.67,115.7,0.5125562029999999,0.487443797,0.00384784386,0,80026,011,36,only high school,Catholic,0.22230737799999997,0.6016758640000001,0.17601675800000016,White,White,-0.07665637607842277,-0.05798331807750092,0.4668445300479299,0.17667571269116084,-0.09011357156062239,-0.08490446116830871,Adult
1837,49381,0.061,41757.0,22483.0,0.193,0.08556342724,1500.18,127.2,0.49573708299999997,0.504262917,0.00377591203,0,134905,013,36,only high school,Catholic,0.23732403500000002,0.57477118,0.18790478500000007,White,White,0.08182798489535012,0.11745357255909013,-0.4453635235016808,-0.2770208830293603,0.07624001171635794,-0.07823815654904982,Adult
1838,33195,0.059000000000000004,48880.0,25967.0,0.182,0.06672847459,410.78,218.1,0.496365035,0.503634965,0.00381240597,0,88830,015,36,only high school,Catholic,0.23925302399999998,0.586257192,0.17448978399999987,White,White,-0.05013815119353493,-0.029838738453882643,0.1434591285539492,0.3339875976394822,-0.20847757892941723,-0.02554536612377731,Adult
1839,18113,0.055999999999999994,46387.0,22339.0,0.16699999999999998,0.06506514658,898.63,56.5,0.49940627299999996,0.500593727,0.0037083367499999996,0,50477,017,36,only high school,Catholic,0.225493407,0.574379659,0.2001269340000001,White,White,-0.16555568309318278,-0.15244540159616252,-0.0626246664165247,-0.30227496489397376,-0.08097668247582679,-0.11922143799092842,Adult
1840,28378,0.059000000000000004,51576.0,25279.0,0.166,0.07251743337000001,1117.53,79.1,0.512805996,0.48719400399999996,0.00349263394,1,82128,019,36,only high school,Catholic,0.22144958199999998,0.621863114,0.15668730399999997,White,White,-0.06771028700476653,-0.051263655836605235,0.36632391445061896,0.2133292065085512,-0.023766584630811032,-0.10612070021742834,Adult
1841,27255,0.040999999999999995,55047.0,32665.0,0.11599999999999999,0.04519848897,648.27,99.4,0.501422556,0.498577444,0.004431058870000001,1,63096,021,36,only high school,Catholic,0.197044334,0.5836056519999999,0.21935001399999995,White,White,-0.1273166624661642,-0.11210505058861604,0.6532540597945881,1.508653155481017,-0.14640893508650815,-0.09435322336778001,Adult
1842,18424,0.059000000000000004,48357.0,23581.0,0.138,0.07175616072,501.52,98.9,0.486616901,0.513383099,0.00379923289,0,49336,023,36,only high school,Catholic,0.252526085,0.591495855,0.15597805999999986,White,White,-0.1666124266557139,-0.1560929442302548,0.10022534404951365,-0.08445850881168258,-0.18476243832431566,-0.09464306269905214,Adult
1843,17778,0.06,45860.0,23911.0,0.14400000000000002,0.05175092095,1467.45,33.3,0.503441687,0.496558313,0.0038603348299999997,0,47980,025,36,only high school,Catholic,0.21790111499999998,0.556206978,0.22589190700000011,White,White,-0.17398245818753802,-0.16042779770249768,-0.10618911084068826,-0.02658457120527673,0.06768593906917948,-0.13266998296195506,Adult
1844,120199,0.046,70925.0,33962.0,0.102,0.03903478654,825.35,373.9,0.497173326,0.502826674,0.00406415467,0,297488,027,36,bachelor and higher,Catholic,0.22614064500000003,0.606994326,0.1668650289999999,White,White,0.5799316112626928,0.637198028368578,1.9658086111548707,1.7361152678310423,-0.10012860559178273,0.06476856950061713,Adult
1845,383248,0.054000000000000006,50134.0,28512.0,0.152,0.06935147555,1226.85,881.4,0.48437205299999997,0.515627947,0.00415409862,1,919040,029,36,bachelor and higher,Catholic,0.229064642,0.5993140940000001,0.171621264,White,White,2.4724808308055515,2.6241721031322296,0.24712101338867615,0.7803184194828244,0.004804488445557723,0.358955490741825,Adult
1846,15079,0.061,50182.0,26755.0,0.12,0.04482796346000001,1916.23,21.9,0.520869068,0.479130932,0.003918862729999999,0,39370,031,36,only high school,Catholic,0.186989969,0.5958989570000001,0.21711107399999993,White,White,-0.19685340814803276,-0.1879521991744824,0.25108893242541214,0.47218354562083925,0.18497578699465309,-0.13927831971495955,Adult
1847,15148,0.065,45704.0,22322.0,0.185,0.07651495221,1697.47,31.7,0.546900908,0.45309909200000004,0.0029901302800000003,0,51599,033,36,only high school,Catholic,0.22512830499999997,0.6208053689999999,0.154066326,White,White,-0.16007269363730708,-0.14885859805939516,-0.11908484771008013,-0.3052563495585462,0.12780227852240253,-0.1335974688220259,Adult
1848,19563,0.066,45409.0,24265.0,0.17800000000000002,0.07506832902999999,532.88,112.1,0.497369981,0.502630019,0.00362331457,0,55531,035,36,only high school,Catholic,0.221366129,0.590735665,0.187898206,White,White,-0.1500124949220109,-0.1362888017077292,-0.1434710167900199,0.03549838004523138,-0.17656641882491095,-0.08699130435346802,Adult
